cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,16384,6656,8,0,29.9027,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.29,3648.21,0.0
256,1,16384,8192,18,0,35.6122,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,7.54,3770.02,0.0
256,1,16384,13312,8,0,56.1256,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.77,3886.82,0.0
256,1,16384,26624,18,0,108.7179,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,8.02,4012.84,0.0
256,1,26624,16384,12,0,94.8685,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,9.2,4598.76,0.0
256,1,51200,5120,7,0,48.5531,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,10.8,5401.33,0.0
256,1,53248,16384,5,0,166.7757,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,10.46,5231.81,0.0
256,1,57344,8192,7,0,96.6093,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,9.72,4863.76,0.0
256,16,100,5120,8,0,16.0889,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.02,37.11,0.0
256,16,200,5120,8,0,16.27,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.01,68.37,0.0
256,16,512,7168,8,0,20.9245,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.61,181.66,0.0
256,16,576,7168,8,0,21.0309,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.28,202.65,0.0
256,16,800,5120,8,0,18.2914,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.17,229.81,0.0
256,16,1280,8192,8,0,24.9326,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.46,427.46,0.0
256,16,1536,7168,8,0,21.5457,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.35,518.61,0.0
256,16,2304,16384,8,0,45.9835,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,26.27,828.22,0.0
256,16,2560,8192,8,0,24.6087,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.27,860.85,0.0
256,16,3072,1536,8,0,6.9695,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.67,694.67,0.0
256,16,4096,512,8,0,3.2643,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.56,685.11,0.0
256,16,4608,7168,8,0,21.3886,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.42,1556.54,0.0
256,16,4608,16384,8,0,46.9202,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.49,1617.79,0.0
256,16,5120,640,8,0,4.7344,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.15,728.89,0.0
256,16,5120,1280,8,0,5.6391,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.19,1194.86,0.0
256,16,5120,3200,8,0,12.5963,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,41.62,1317.77,0.0
256,16,5120,5120,8,0,16.0839,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.16,1645.13,0.0
256,16,5120,6400,8,0,19.2835,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,54.38,1713.08,0.0
256,16,5120,25600,8,0,71.8331,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,58.39,1832.66,0.0
256,16,6400,5120,8,0,16.3912,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,63.97,2016.61,0.0
256,16,7168,256,8,0,2.845,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.64,727.06,0.0
256,16,7168,2048,8,0,8.7398,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,53.75,1709.67,0.0
256,16,7168,2304,8,0,8.832,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.84,1900.06,0.0
256,16,7168,8192,8,0,25.4744,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,73.76,2319.22,0.0
256,16,8192,1024,8,0,5.1701,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.92,1676.4,0.0
256,16,8192,2048,8,0,8.5418,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.85,1998.66,0.0
256,16,8192,3584,8,0,12.0681,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.85,2459.34,0.0
256,16,8192,7168,8,0,22.7115,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.74,2602.08,0.0
256,16,8192,8192,8,0,26.2935,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.67,2567.25,0.0
256,16,8192,28672,8,0,88.3819,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,85.04,2665.73,0.0
256,16,9216,16384,8,0,51.4045,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,94.0,2948.22,0.0
256,16,10240,8192,8,0,28.9703,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,92.66,2911.42,0.0
256,16,12800,5120,8,0,19.9602,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,105.07,3307.96,0.0
256,16,13312,16384,8,0,57.9019,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,120.54,3778.67,0.0
256,16,14336,8192,8,0,31.6176,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,118.86,3733.06,0.0
256,16,16384,2048,8,0,9.1992,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,116.72,3708.09,0.0
256,16,16384,4096,8,0,17.2455,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,124.52,3925.59,0.0
256,16,16384,6656,8,0,24.3544,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,143.29,4503.61,0.0
256,16,16384,8192,8,0,31.0327,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,138.4,4346.16,0.0
256,16,16384,13312,8,0,44.7992,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,155.79,4884.93,0.0
256,16,16384,26624,8,0,91.4472,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,152.64,4780.44,0.0
256,16,26624,16384,8,0,98.5525,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,141.64,4437.45,0.0
