cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,304,1280,8192,5,0,16.154,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,394.66,851.45,0.0
256,304,8192,1024,120,0,10.0788,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,506.04,1357.37,0.0
256,304,8192,4096,123,0,23.8204,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,856.45,1670.01,0.0
256,320,1280,8192,11,0,16.8302,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,398.74,827.46,0.0
256,320,8192,1024,77,0,10.434,a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,514.54,1337.85,0.0
256,320,8192,4096,123,0,23.6167,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,909.31,1698.29,0.0
256,336,1280,8192,12,0,18.0969,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,389.37,779.05,0.0
256,336,8192,1024,116,0,10.205,a8w8_bpreshuffle_256x96x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,552.39,1395.17,0.0
256,336,8192,4096,123,0,25.5585,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,882.23,1582.08,0.0
256,352,1280,8192,12,0,18.4415,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,400.29,773.82,0.0
256,352,8192,1024,116,0,10.2099,a8w8_bpreshuffle_256x96x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,578.42,1421.78,0.0
256,352,8192,4096,123,0,25.1773,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,938.24,1619.05,0.0
256,368,1280,8192,12,0,18.1697,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,424.75,794.87,0.0
256,368,8192,1024,78,0,11.2319,a8w8_bpreshuffle_256x96x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,549.69,1317.21,0.0
256,368,8192,4096,123,0,25.024,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,986.9,1642.07,0.0
256,384,1280,8192,12,0,18.7981,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,428.4,777.45,0.0
256,384,8192,1024,116,0,10.3622,a8w8_bpreshuffle_256x96x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,621.73,1454.64,0.0
256,384,8192,4096,123,0,23.4365,a8w8_bpreshuffle_256x96x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1099.56,1767.28,0.0
256,400,1280,8192,6,0,19.5585,a8w8_bpreshuffle_256x16x128x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_8x8x1_1x2_intrawave_v1,428.9,756.02,0.0
256,400,8192,1024,121,0,11.8331,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,567.13,1297.36,0.0
256,400,8192,4096,124,0,28.6163,a8w8_bpreshuffle_256x112x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,938.05,1458.83,0.0
256,416,1280,8192,112,0,21.5007,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,405.76,695.73,0.0
256,416,8192,1024,121,0,11.8405,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,589.44,1320.07,0.0
256,416,8192,4096,124,0,28.3609,a8w8_bpreshuffle_256x112x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,984.36,1483.53,0.0
256,432,1280,8192,113,0,22.3532,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,405.3,676.89,0.0
256,432,8192,1024,121,0,11.8993,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,609.09,1336.96,0.0
256,432,8192,4096,124,0,29.9262,a8w8_bpreshuffle_256x112x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,968.75,1416.88,0.0
256,448,1280,8192,112,0,21.6998,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,432.96,705.2,0.0
