M,N,K
67,8192,8192
87,8192,8192
90,8192,8192
67,28672,28672
87,28672,28672
90,28672,28672
64,8192,8192
128,8192,8192
256,8192,8192
64,28672,28672
128,28672,28672
256,28672,28672
