cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio,libtype
256,512,8192,28672,torch.float8_e4m3fn,10,2,136.4968,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1762.08,1889.79,0.0,ck
256,1024,8192,28672,torch.float8_e4m3fn,13,1,201.4349,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,2388.05,1395.08,0.0,ck
256,2048,8192,28672,torch.float8_e4m3fn,38,1,363.8165,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2644.39,899.23,0.0,ck
256,4096,8192,28672,torch.float8_e4m3fn,38,0,703.6427,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2734.55,596.08,0.0,ck
256,512,8192,8192,torch.float8_e4m3fn,10,0,45.8214,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1499.72,1739.18,0.0,ck
256,1024,8192,8192,torch.float8_e4m3fn,13,0,67.8585,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,2025.38,1359.81,0.0,ck
256,2048,8192,8192,torch.float8_e4m3fn,38,3,124.1913,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2213.34,945.64,0.0,ck
256,4096,8192,8192,torch.float8_e4m3fn,38,0,231.613,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2373.6,724.36,0.0,ck
